Type,City,Bedrooms,Area,Price,Predicted_Price,Discount_pct
Chalet,North Coast,2.0,105.0,793500,1992804.443366923,60.2
Town House,New Capital City,5.0,395.0,360000,905503.7384969596,60.2
Apartment,6th of October,3.0,150.0,224000,562627.1146539854,60.2
Stand Alone Villa,North Coast,4.0,225.0,800000,2009891.3358979442,60.2
Chalet,North Coast,3.0,130.0,1100000,2762164.027312347,60.2
Stand Alone Villa,Agami,4.0,225.0,1000000,2505525.2612370844,60.1
Chalet,North Coast,2.0,120.0,250000,626089.5546347769,60.1
Chalet,North Coast,2.0,114.0,250000,626747.7635618688,60.1
Apartment,Glim,4.0,250.0,1500000,3763704.3637654735,60.1
Apartment,New Hut - El Tagamoa,3.0,175.0,342700,859798.1599938683,60.1
Chalet,North Coast,3.0,132.0,570000,1428009.8111241977,60.1
Stand Alone Villa,Nasr City,3.0,265.0,1200000,3004691.4888407877,60.1
Town House,New Capital City,4.0,382.0,570000,1429133.0958103146,60.1
Chalet,North Coast,4.0,256.0,700000,1752581.3837238562,60.1
Chalet,North Coast,1.0,75.0,210000,524610.1460739806,60.0
Studio,Ras Sedr,1.0,56.0,168000,420043.6930095377,60.0
Chalet,North Coast,3.0,144.0,550000,1373406.2762380359,60.0
Town House,New Capital City,4.0,350.0,1450000,3625253.523426777,60.0
Duplex,North Coast,2.0,137.0,285000,712851.9492757826,60.0
Chalet,Ain Sukhna,3.0,117.0,400000,1000883.953483129,60.0
Chalet,Ain Sukhna,3.0,159.0,675000,1689408.8010024389,60.0
Town House,North Coast,3.0,170.0,540000,1345054.566062574,59.9
Stand Alone Villa,Ras Sedr,4.0,700.0,2400000,5980223.393248518,59.9
Chalet,North Coast,2.0,105.0,250000,622956.1240990689,59.9
Chalet,North Coast,2.0,115.0,280000,697521.2983630082,59.9
Apartment,Heliopolis,3.0,192.0,350000,873822.2685483799,59.9
Chalet,North Coast,2.0,124.0,400000,994906.3208250195,59.8
Chalet,New Hut - El Tagamoa,3.0,126.0,325000,807943.0914824625,59.8
Chalet,North Coast,3.0,125.0,400000,994574.4646532511,59.8
Town House,North Coast,4.0,170.0,500000,1245108.4323716245,59.8
Twin House,North Coast,4.0,242.0,640000,1592840.7704940157,59.8
Town House,New Capital City,4.0,393.0,280000,696657.0246487636,59.8
Chalet,North Coast,2.0,124.0,400000,994906.3208250195,59.8
Apartment,New Hut - El Tagamoa,2.0,139.0,274000,681116.3778756221,59.8
Apartment,New Capital City,3.0,190.0,300000,744526.038207155,59.7
Stand Alone Villa,New Hut - El Tagamoa,3.0,504.0,2650000,6580610.363792225,59.7
Stand Alone Villa,Shorouk City,4.0,300.0,1600000,3971251.7250847076,59.7
Twin House,Sheikh Zayed,5.0,269.0,547000,1358586.3057096743,59.7
Stand Alone Villa,New Hut - El Tagamoa,3.0,504.0,2650000,6580610.363792225,59.7
Chalet,Ain Sukhna,2.0,140.0,345000,856093.0938629104,59.7
Stand Alone Villa,New Hut - El Tagamoa,3.0,167.0,500000,1240787.5529017376,59.7
Stand Alone Villa,New Hut - El Tagamoa,3.0,504.0,2650000,6580610.363792225,59.7
Chalet,North Coast,2.0,95.0,380000,939473.6421152897,59.6
Apartment,6th of October,3.0,180.0,350000,865738.3722950012,59.6
Chalet,North Coast,2.0,95.0,300000,742850.8516313608,59.6
Stand Alone Villa,New Capital City,7.0,480.0,500000,1236805.0707269274,59.6
Twin House,Mostakbal City,5.0,254.0,1313000,3248968.3755704532,59.6
Chalet,Ain Sukhna,2.0,95.0,214000,529061.8769661812,59.6
Town House,Shorouk City,4.0,200.0,550000,1360263.5629256002,59.6
Twin House,New Hut - El Tagamoa,5.0,313.0,1330000,3292093.763403516,59.6
Chalet,North Coast,3.0,160.0,950000,2350743.250609141,59.6
Town House,Alamein,3.0,170.0,450000,1114056.1624063563,59.6
Chalet,Alamein,1.0,91.0,500000,1238342.6210605246,59.6
Town House,New Hut - El Tagamoa,4.0,270.0,525000,1298098.2111033963,59.6
Apartment,Madinaty,4.0,165.0,350000,865343.1387617105,59.6
Apartment,Maadi,3.0,135.0,328000,809641.6334764592,59.5
Apartment,New Hut - El Tagamoa,3.0,164.0,312000,770520.8541528422,59.5
Duplex,North Coast,3.0,165.0,345000,851012.9640016197,59.5
Twin House,North Coast,5.0,225.0,860000,2121066.3094032984,59.5
Town House,New Hut - El Tagamoa,4.0,265.0,480000,1184828.5666290773,59.5
Chalet,North Coast,2.0,95.0,247000,609361.8444831949,59.5
Apartment,New Capital City,2.0,124.0,200000,492435.4623234602,59.4
Apartment,New Hut - El Tagamoa,3.0,160.0,375000,924011.2267978388,59.4
Town House,North Coast,3.0,180.0,470000,1156377.6508622272,59.4
Apartment,Sheikh Zayed,2.0,130.0,1200000,2956302.9863238675,59.4
Chalet,Alamein,3.0,146.0,420000,1033953.2046926985,59.4
Apartment,6th of October,3.0,240.0,500000,1232280.231344237,59.4
Twin House,New Hut - El Tagamoa,4.0,265.0,890000,2186288.089703082,59.3
Apartment,Sharq District,2.0,85.0,233800,574719.2984478534,59.3
Chalet,Ain Sukhna,3.0,115.0,480000,1179048.6222133627,59.3
Stand Alone Villa,Sheikh Zayed,4.0,291.0,1480320,3635598.552846824,59.3
Apartment,New Capital City,4.0,295.0,354000,869592.4659528036,59.3
Chalet,North Coast,2.0,90.0,290000,712650.593557666,59.3
Chalet,North Coast,2.0,96.0,350000,859456.8178676284,59.3
Stand Alone Villa,New Hut - El Tagamoa,4.0,504.0,2650000,6511546.44586788,59.3
Apartment,Sheikh Zayed,3.0,200.0,500000,1224043.796515107,59.2
Twin House,Sheikh Zayed,5.0,301.0,1875000,4597405.735809447,59.2
Chalet,Ain Sukhna,2.0,90.0,210000,514803.4044107859,59.2
Town House,Sheikh Zayed,3.0,175.0,645000,1579602.4488914022,59.2
Stand Alone Villa,New Hut - El Tagamoa,5.0,280.0,2100000,5141565.350125472,59.2
Apartment,New Hut - El Tagamoa,2.0,125.0,245000,600374.1596817105,59.2
Apartment,New Hut - El Tagamoa,3.0,164.0,334000,818762.3358087318,59.2
Town House,New Hut - El Tagamoa,4.0,205.0,560000,1367999.369294968,59.1
Chalet,Madinaty,3.0,126.0,340000,831268.1205658491,59.1
Chalet,North Coast,2.0,110.0,300000,733509.058602717,59.1
Town House,6th of October,3.0,205.0,490000,1198310.5034393508,59.1
Chalet,North Coast,3.0,125.0,300000,732898.2460642356,59.1
Apartment,New Hut - El Tagamoa,2.0,148.0,446000,1089717.9940777281,59.1
Stand Alone Villa,North Coast,4.0,297.0,800000,1958013.89783231,59.1
Town House,6th of October,3.0,205.0,490000,1198310.5034393508,59.1
Town House,Madinaty,4.0,211.0,900000,2192887.3090006397,59.0
Town House,Sheikh Zayed,3.0,220.0,600000,1462623.4023168555,59.0
Apartment,New Hut - El Tagamoa,3.0,215.0,674000,1645515.3879933488,59.0
Stand Alone Villa,New Capital City,6.0,468.0,650000,1585717.0421634226,59.0
Twin House,New Hut - El Tagamoa,4.0,385.0,2700000,6585060.759064822,59.0
Town House,Sheikh Zayed,3.0,220.0,600000,1462623.4023168555,59.0
Town House,Sheikh Zayed,3.0,220.0,600000,1462623.4023168555,59.0
Town House,Sheikh Zayed,3.0,220.0,600000,1462623.4023168555,59.0
Town House,Sheikh Zayed,3.0,220.0,600000,1462623.4023168555,59.0
Apartment,Shorouk City,4.0,220.0,400000,975712.3381683506,59.0
Town House,Sheikh Zayed,3.0,220.0,600000,1462623.4023168555,59.0
Town House,Sheikh Zayed,3.0,220.0,600000,1462623.4023168555,59.0
Apartment,6th of October,3.0,250.0,1150000,2795688.133594101,58.9
Town House,New Hut - El Tagamoa,2.0,225.0,1585000,3860468.084926173,58.9
Apartment,Obour City,3.0,165.0,210000,510475.9744432805,58.9
Chalet,North Coast,2.0,103.0,250000,607678.8781047745,58.9
Chalet,North Coast,2.0,92.0,493329,1200618.4439954357,58.9
Town House,Hadayek 6th of October,4.0,225.0,850000,2068719.9790836207,58.9
Stand Alone Villa,New Capital City,6.0,470.0,500000,1216191.7455059402,58.9
Apartment,New Hut - El Tagamoa,3.0,140.0,300000,728500.9042643587,58.8
Apartment,6th of October,3.0,180.0,342000,830269.821274904,58.8
Chalet,North Coast,2.0,92.0,230000,558347.3753145587,58.8
Chalet,North Coast,2.0,101.0,240000,583073.4415727502,58.8
Apartment,New Capital City,3.0,138.0,240000,582785.7961410496,58.8
Chalet,Ain Sukhna,2.0,110.0,390000,946013.7210108459,58.8
Town House,New Capital City,3.0,305.0,878000,2132656.162957783,58.8
Chalet,Ain Sukhna,3.0,120.0,200000,485359.49615673115,58.8
Chalet,North Coast,2.0,118.0,270000,654785.780926171,58.8
Stand Alone Villa,New Hut - El Tagamoa,6.0,697.0,7644000,18486654.119657367,58.7
Apartment,New Hut - El Tagamoa,3.0,130.0,550000,1331039.8939460232,58.7
Apartment,New Capital City,3.0,180.0,162000,392256.88580636634,58.7
Duplex,New Hut - El Tagamoa,4.0,230.0,350000,847845.0335657024,58.7
Apartment,New Hut - El Tagamoa,3.0,170.0,260000,629229.8751128932,58.7
Apartment,New Hut - El Tagamoa,3.0,146.0,220000,532474.8769853468,58.7
Chalet,Ain Sukhna,2.0,100.0,200000,483700.1410619556,58.7
Chalet,Ain Sukhna,2.0,100.0,200000,483700.1410619556,58.7
Chalet,North Coast,2.0,100.0,200000,484736.76206235663,58.7
Apartment,New Hut - El Tagamoa,3.0,187.0,140000,338666.99431763426,58.7
Chalet,Ain Sukhna,2.0,100.0,200000,483700.1410619556,58.7
Town House,New Hut - El Tagamoa,3.0,370.0,2500000,6054777.020616274,58.7
Stand Alone Villa,New Hut - El Tagamoa,3.0,145.0,487000,1178198.9334089032,58.7
Town House,6th of October,4.0,205.0,600000,1453389.112538349,58.7
Chalet,North Coast,2.0,120.0,250000,604089.4638451022,58.6
Town House,North Coast,4.0,200.0,400000,966315.8877092425,58.6
Studio,North Coast,1.0,55.0,155000,374107.796484822,58.6
Chalet,North Coast,2.0,90.0,295000,712650.593557666,58.6
Studio,Heliopolis,1.0,58.0,191000,461251.7358383259,58.6
Twin House,New Hut - El Tagamoa,7.0,298.0,1268000,3061610.9676963757,58.6
Apartment,New Hut - El Tagamoa,2.0,220.0,590000,1423744.8239597431,58.6
Chalet,North Coast,2.0,125.0,220000,529496.7011642109,58.5
Town House,Mostakbal City,3.0,225.0,350000,844335.0842705355,58.5
Apartment,Hadayek 6th of October,3.0,160.0,250000,601933.5469597126,58.5
Stand Alone Villa,New Hut - El Tagamoa,4.0,285.0,850000,2050142.1715426547,58.5
Stand Alone Villa,New Hut - El Tagamoa,5.0,337.0,1000000,2410118.865106681,58.5
Apartment,New Capital City,3.0,157.0,280000,674782.5544272133,58.5
Apartment,New Hut - El Tagamoa,3.0,165.0,290000,698454.6268000493,58.5
Apartment,New Hut - El Tagamoa,3.0,170.0,700000,1684609.3261326642,58.4
Apartment,New Hut - El Tagamoa,3.0,170.0,700000,1684609.3261326642,58.4
Stand Alone Villa,Borg al-Arab,1.0,400.0,400000,961526.6814667692,58.4
Chalet,North Coast,2.0,115.0,290000,697521.2983630082,58.4
Chalet,North Coast,1.0,67.0,523000,1255906.4045292763,58.4
Apartment,New Hut - El Tagamoa,3.0,172.0,500000,1201741.0112585465,58.4
Town House,New Hut - El Tagamoa,4.0,265.0,750000,1803380.9610933675,58.4
Town House,New Hut - El Tagamoa,3.0,225.0,715000,1717639.424053656,58.4
Stand Alone Villa,New Hut - El Tagamoa,5.0,350.0,2200000,5288011.505346608,58.4
Apartment,6th of October,3.0,190.0,325000,778463.9692839052,58.3
Chalet,Ain Sukhna,3.0,135.0,400000,960285.3524439351,58.3
Twin House,New Hut - El Tagamoa,4.0,174.0,500000,1200471.9119705423,58.3
Duplex,North Coast,4.0,256.0,700000,1680130.6929087513,58.3
Chalet,Ain Sukhna,2.0,104.0,277000,663672.75533505,58.3
Town House,Mostakbal City,4.0,218.0,429000,1029701.8747984138,58.3
Chalet,North Coast,2.0,115.0,300000,718314.0722366696,58.2
Stand Alone Villa,Heliopolis,4.0,265.0,1030000,2464160.6853171866,58.2
Apartment,Mostakbal City,3.0,165.0,225000,537683.1379864439,58.2
Apartment,Amreya,2.0,286.0,350000,837207.7545470695,58.2
Apartment,New Hut - El Tagamoa,4.0,175.0,480000,1149682.2940394836,58.2
Apartment,New Capital City,3.0,179.0,473000,1132159.03983184,58.2
Apartment,New Capital City,3.0,166.0,190000,453102.81879194634,58.1
Apartment,New Capital City,3.0,172.0,135000,322241.4337944849,58.1
Penthouse,North Coast,3.0,161.0,530000,1265285.7594259207,58.1
Chalet,Ain Sukhna,3.0,150.0,630000,1504317.0939800835,58.1
Chalet,Ain Sukhna,3.0,112.0,295000,704108.7854656298,58.1
Stand Alone Villa,North Coast,3.0,191.0,855000,2041157.0299158862,58.1
Chalet,North Coast,3.0,132.0,440000,1048875.8282147725,58.1
Chalet,North Coast,3.0,92.0,493329,1177396.7266825542,58.1
Twin House,Sheikh Zayed,4.0,317.0,1554465,3703260.544031632,58.0
Stand Alone Villa,New Hut - El Tagamoa,4.0,550.0,2000000,4758671.857791265,58.0
Twin House,New Hut - El Tagamoa,3.0,280.0,835000,1989680.278725237,58.0
Stand Alone Villa,North Coast,5.0,450.0,1600000,3813758.18255741,58.0
Chalet,North Coast,3.0,177.0,294000,700349.4774275048,58.0
Apartment,New Hut - El Tagamoa,2.0,130.0,700000,1666480.5230283905,58.0
Chalet,Ain Sukhna,2.0,96.0,198000,470066.08683568996,57.9
Twin House,New Capital City,5.0,412.0,400000,949460.0974252067,57.9
Stand Alone Villa,North Coast,4.0,226.0,900000,2136267.6291784234,57.9
Chalet,North Coast,3.0,214.0,400000,948922.0293394374,57.8
Twin House,North Coast,3.0,210.0,635000,1504996.4982980257,57.8
Twin House,Sheikh Zayed,5.0,269.0,547000,1297433.846360563,57.8
Chalet,North Coast,3.0,125.0,375000,888595.0767415606,57.8
Apartment,New Hut - El Tagamoa,3.0,170.0,294000,696588.4710311583,57.8
Town House,Sheikh Zayed,5.0,306.0,1444005,3423693.273143819,57.8
Town House,6th of October,5.0,373.0,1600650,3796664.521637663,57.8
Apartment,Zagazig,4.0,290.0,1650000,3913522.5655003847,57.8
Chalet,North Coast,1.0,55.0,300000,710879.3125256964,57.8
Chalet,North Coast,3.0,120.0,252000,595094.4385562545,57.7
Chalet,North Coast,2.0,80.0,400000,945384.4915404705,57.7
Chalet,North Coast,2.0,115.0,330000,780289.9506145195,57.7
Chalet,North Coast,2.0,115.0,330000,780289.9506145195,57.7
Stand Alone Villa,New Hut - El Tagamoa,4.0,337.0,825000,1948737.6646902733,57.7
Apartment,6th of October,3.0,168.0,400000,946163.9613357036,57.7
Town House,(View phone number),4.0,555.0,2250000,5313888.204315727,57.7
Apartment,Obour City,3.0,165.0,200000,472825.1492443239,57.7
Apartment,New Hut - El Tagamoa,3.0,174.0,513000,1213127.992477423,57.7
Stand Alone Villa,Madinaty,3.0,201.0,2000000,4715628.852733535,57.6
Stand Alone Villa,Madinaty,3.0,201.0,2000000,4715628.852733535,57.6
Apartment,New Hut - El Tagamoa,3.0,150.0,800000,1888780.9692368647,57.6
Apartment,New Hut - El Tagamoa,3.0,172.0,380000,896824.975383947,57.6
Chalet,North Coast,3.0,165.0,550000,1295702.458208195,57.6
Stand Alone Villa,Madinaty,3.0,201.0,2000000,4715628.852733535,57.6
Town House,North Coast,4.0,170.0,500000,1179117.4483346113,57.6
Chalet,North Coast,2.0,120.0,370000,872445.2586368023,57.6
Stand Alone Villa,New Capital City,4.0,357.0,1200000,2820919.6479507517,57.5
Chalet,Ain Sukhna,2.0,108.0,420000,987752.4131754816,57.5
Town House,New Capital City,4.0,382.0,1000000,2351615.7655208716,57.5
Apartment,Smoha,3.0,185.0,950000,2237141.4903488797,57.5
Chalet,North Coast,2.0,100.0,400000,940590.8822414853,57.5
Stand Alone Villa,New Hut - El Tagamoa,3.0,165.0,481000,1131539.313151665,57.5
Apartment,New Hut - El Tagamoa,2.0,128.0,420000,987802.4281143704,57.5
Stand Alone Villa,6th of October,4.0,280.0,1007000,2371748.5721062752,57.5
Town House,6th of October,3.0,290.0,1900000,4463546.924458825,57.4
Chalet,North Coast,2.0,92.0,240000,563957.2847255726,57.4
Chalet,North Coast,2.0,116.0,270000,634435.8678969163,57.4
Town House,Sheikh Zayed,4.0,278.0,2474020,5801158.83189751,57.4
Stand Alone Villa,North Coast,5.0,600.0,5400000,12662209.339393297,57.4
Stand Alone Villa,North Coast,2.0,300.0,1850000,4342048.018950059,57.4
Duplex,Shorouk City,4.0,220.0,220000,515620.2443067006,57.3
Chalet,North Coast,2.0,110.0,335000,783685.4052605178,57.3
Chalet,North Coast,2.0,92.0,250000,586087.7964999134,57.3
Chalet,Ain Sukhna,3.0,125.0,286000,669299.8057096705,57.3
Apartment,Madinaty,2.0,78.0,480000,1124366.0794701632,57.3
Town House,Sheikh Zayed,5.0,320.0,461000,1079889.5670544498,57.3
Duplex,New Hut - El Tagamoa,5.0,335.0,813000,1903751.221124578,57.3
Chalet,North Coast,1.0,75.0,200000,468553.12473123433,57.3
Penthouse,North Coast,2.0,115.0,310000,725915.148282332,57.3
Chalet,North Coast,4.0,206.0,2051594,4804273.041202644,57.3
Apartment,Sheraton,2.0,146.0,280000,656385.3571263369,57.3
Chalet,North Coast,3.0,125.0,300000,702330.4812594873,57.3
Apartment,New Capital City,4.0,337.0,385000,898937.9747582827,57.2
Stand Alone Villa,New Hut - El Tagamoa,5.0,278.0,636000,1485121.2588893757,57.2
Chalet,North Coast,1.0,67.0,523000,1222523.439031545,57.2
Apartment,New Hut - El Tagamoa,3.0,180.0,450000,1052382.0236784383,57.2
Town House,North Coast,4.0,170.0,750000,1751330.4064489591,57.2
Duplex,New Hut - El Tagamoa,3.0,235.0,1450000,3385259.6714693466,57.2
Chalet,Ain Sukhna,3.0,150.0,585000,1364281.724119603,57.1
Chalet,North Coast,3.0,145.0,1430000,3330271.8437577747,57.1
Twin House,New Hut - El Tagamoa,5.0,272.0,730000,1700224.3255106306,57.1
Apartment,New Hut - El Tagamoa,2.0,135.0,300000,698739.7883929579,57.1
Town House,North Coast,3.0,145.0,361000,841751.0067010504,57.1
Stand Alone Villa,North Coast,6.0,850.0,2800000,6515461.6459575975,57.0
Town House,New Capital City,4.0,387.0,292000,679420.3201052514,57.0
Stand Alone Villa,Sheikh Zayed,4.0,254.0,1600000,3720773.1794873085,57.0
Apartment,Sheikh Zayed,3.0,300.0,1150000,2675950.3066277364,57.0
Chalet,North Coast,2.0,164.0,800000,1861586.7090894692,57.0
Chalet,North Coast,3.0,205.0,580000,1348342.6768307746,57.0
Stand Alone Villa,Shorouk City,5.0,300.0,450000,1047281.2027643075,57.0
Apartment,Sheikh Zayed,3.0,220.0,500000,1159166.8357093893,56.9
Apartment,6th of October,2.0,80.0,250000,580692.5862576127,56.9
Chalet,North Coast,3.0,115.0,375000,869171.4350961575,56.9
Chalet,New Hut - El Tagamoa,2.0,125.0,285000,660597.0833537279,56.9
Town House,North Coast,3.0,265.0,750000,1739193.365475295,56.9
Duplex,North Coast,3.0,185.0,560000,1300745.6393406228,56.9
Chalet,North Coast,3.0,115.0,375000,869171.4350961575,56.9
Apartment,New Hut - El Tagamoa,2.0,127.0,267000,617939.8064169836,56.8
Apartment,New Hut - El Tagamoa,2.0,120.0,180000,416855.878494306,56.8
Chalet,North Coast,3.0,120.0,350000,809518.8667042712,56.8
Apartment,New Hut - El Tagamoa,2.0,120.0,180000,416855.878494306,56.8
Chalet,North Coast,3.0,135.0,235000,543665.6392570109,56.8
Chalet,Ain Sukhna,2.0,90.0,353000,816817.9964957614,56.8
Apartment,New Hut - El Tagamoa,2.0,120.0,180000,416855.878494306,56.8
Apartment,New Hut - El Tagamoa,2.0,120.0,180000,416855.878494306,56.8
Apartment,New Hut - El Tagamoa,2.0,120.0,180000,416855.878494306,56.8
Town House,North Coast,3.0,170.0,560000,1295858.4551232695,56.8
Apartment,New Hut - El Tagamoa,4.0,250.0,591000,1368028.5911473592,56.8
Stand Alone Villa,New Hut - El Tagamoa,4.0,180.0,390000,903619.8918155251,56.8
Stand Alone Villa,North Coast,4.0,200.0,900000,2082107.0414371598,56.8
Apartment,New Heliopolis,2.0,100.0,425000,982715.5217548399,56.8
Chalet,Marsa Matrouh,2.0,95.0,215000,498219.36483588716,56.8
Chalet,North Coast,2.0,125.0,527000,1220830.7028447944,56.8
Chalet,Ain Sukhna,2.0,110.0,230000,532503.0693805438,56.8
Apartment,New Hut - El Tagamoa,2.0,120.0,180000,416855.878494306,56.8
Stand Alone Villa,North Coast,5.0,330.0,1094400,2534372.185182797,56.8
Stand Alone Villa,Ain Sukhna,3.0,175.0,1450000,3350726.6543074804,56.7
Stand Alone Villa,Marsa Matrouh,4.0,750.0,1200000,2770834.987454086,56.7
Apartment,New Hut - El Tagamoa,3.0,118.0,250000,577538.7371516918,56.7
Chalet,North Coast,3.0,205.0,1000000,2310263.846545175,56.7
Chalet,North Coast,2.0,125.0,270000,623502.755704728,56.7
Chalet,Ain Sukhna,3.0,180.0,1200000,2768311.593374358,56.7
Apartment,New Hut - El Tagamoa,2.0,120.0,310000,716591.4374928166,56.7
Apartment,New Hut - El Tagamoa,2.0,131.0,320000,739067.6702499879,56.7
Apartment,Nakheel,3.0,250.0,430000,992264.7079110126,56.7
Chalet,North Coast,2.0,115.0,350000,808034.377760068,56.7
Twin House,Shorouk City,5.0,231.0,1063000,2455599.4947020486,56.7
Town House,New Capital City,5.0,387.0,300000,692255.5523727408,56.7
Chalet,Dabaa,3.0,177.0,570000,1312454.3918428612,56.6
Apartment,Suez District,3.0,164.0,320000,736715.2098277145,56.6
Apartment,Shorouk City,3.0,160.0,413000,952200.1473916725,56.6
Chalet,Alamein,3.0,205.0,580000,1337046.572430172,56.6
Apartment,New Hut - El Tagamoa,3.0,180.0,340000,783160.0787138793,56.6
Town House,New Hut - El Tagamoa,4.0,230.0,800000,1845408.551478531,56.6
Stand Alone Villa,New Hut - El Tagamoa,6.0,410.0,1200000,2763173.1507230587,56.6
Stand Alone Villa,New Hut - El Tagamoa,3.0,145.0,480000,1105643.3565553913,56.6
Penthouse,Sheikh Zayed,4.0,330.0,1320000,3043532.7349341465,56.6
Twin House,New Hut - El Tagamoa,4.0,237.0,800000,1839702.5616499432,56.5
Town House,New Capital City,3.0,225.0,890000,2045547.8057876925,56.5
Town House,North Coast,3.0,145.0,904000,2077623.2540092191,56.5
Town House,New Hut - El Tagamoa,5.0,248.0,1707431,3928791.974491351,56.5
Chalet,North Coast,2.0,100.0,300000,690009.9346831196,56.5
Twin House,New Hut - El Tagamoa,4.0,376.0,3750000,8620156.99438526,56.5
Apartment,New Capital City,3.0,156.0,160000,367441.71996808075,56.5
Chalet,Alamein,3.0,130.0,300000,687901.308829387,56.4
Chalet,North Coast,2.0,115.0,340000,780289.9506145195,56.4
Chalet,North Coast,2.0,115.0,340000,780289.9506145195,56.4
Apartment,New Hut - El Tagamoa,3.0,164.0,186000,426848.74278769153,56.4
Studio,Nasr City,1.0,60.0,57000,130860.68192810472,56.4
Apartment,New Capital City,3.0,138.0,250000,573959.5174534927,56.4
Chalet,Ain Sukhna,3.0,185.0,714000,1638401.3329215471,56.4
Chalet,North Coast,3.0,133.0,440000,1008128.2504597742,56.4
Apartment,Sheraton,3.0,155.0,340000,780589.163706897,56.4
Chalet,North Coast,2.0,92.0,250000,573657.9677265955,56.4
Apartment,New Hut - El Tagamoa,3.0,191.0,466000,1070034.2588421414,56.4
Twin House,New Hut - El Tagamoa,4.0,235.0,1300000,2975343.937590157,56.3
Stand Alone Villa,6th of October,3.0,230.0,398000,910802.0297498369,56.3
Twin House,Sheikh Zayed,5.0,462.0,2284234,5233037.65017975,56.3
Stand Alone Villa,North Coast,6.0,410.0,1200000,2746366.490442073,56.3
Stand Alone Villa,6th of October,4.0,280.0,1040000,2371748.5721062752,56.2
Town House,New Hut - El Tagamoa,4.0,337.0,930000,2124336.493412822,56.2
Apartment,6th of October,3.0,220.0,500000,1140330.7404271322,56.2
Chalet,Ain Sukhna,2.0,10.0,70000,159943.87310748975,56.2
Studio,Ras Sedr,1.0,65.0,280000,639495.5916825418,56.2
Chalet,North Coast,2.0,92.0,220000,502835.1676777691,56.2
Chalet,North Coast,1.0,75.0,190000,433919.97538113437,56.2
Chalet,North Coast,2.0,92.0,220000,502835.1676777691,56.2
Chalet,North Coast,2.0,92.0,220000,502835.1676777691,56.2
Chalet,North Coast,1.0,75.0,190000,433672.0012521431,56.2
Apartment,Safaga,3.0,85.0,250000,569996.5016125522,56.1
Chalet,North Coast,2.0,101.0,210000,478605.935445502,56.1
Duplex,New Capital City,4.0,226.0,390000,887905.1949487127,56.1
Town House,North Coast,3.0,170.0,450000,1024452.2347693049,56.1
Chalet,North Coast,2.0,92.0,320000,728936.864839555,56.1
Chalet,North Coast,3.0,132.0,380000,865134.5246566538,56.1
Apartment,New Hut - El Tagamoa,3.0,199.0,440000,1001781.6381961963,56.1
Chalet,North Coast,2.0,92.0,320000,728936.864839555,56.1
Apartment,New Hut - El Tagamoa,2.0,100.0,270000,614910.3095152101,56.1
Stand Alone Villa,New Hut - El Tagamoa,6.0,863.0,8500000,19347793.832863428,56.1
Chalet,North Coast,2.0,92.0,270000,613633.6977795527,56.0
Penthouse,New Hut - El Tagamoa,3.0,240.0,1100000,2501487.6039000587,56.0
Apartment,New Capital City,3.0,166.0,199000,452602.82968166715,56.0
Town House,North Coast,4.0,300.0,2200000,5002851.217067563,56.0
Apartment,Markaz Sohag,3.0,144.0,290000,658761.0718146346,56.0
Chalet,North Coast,2.0,94.0,285000,647017.3205087782,56.0
Chalet,Ain Sukhna,2.0,115.0,290000,659662.7553944443,56.0
Chalet,Fayed,3.0,260.0,1250000,2839102.3620071365,56.0
Apartment,New Capital City,1.0,71.0,143000,324700.88530611293,56.0
Chalet,North Coast,3.0,135.0,240000,543665.6392570109,55.9
Town House,New Hut - El Tagamoa,3.0,235.0,450000,1020783.1463194814,55.9
Stand Alone Villa,Ain Sukhna,4.0,200.0,710000,1610091.0275668998,55.9
Chalet,North Coast,2.0,127.0,300000,680298.8918569015,55.9
Twin House,North Coast,3.0,180.0,740000,1676650.3560522655,55.9
Duplex,North Coast,3.0,132.0,410000,930075.7338505962,55.9
Chalet,Ain Sukhna,2.0,96.0,200000,453759.0723786009,55.9
Chalet,North Coast,2.0,100.0,250000,566298.2240170159,55.9
Chalet,Ain Sukhna,1.0,71.0,240000,544315.048085192,55.9
Chalet,North Coast,2.0,92.0,270000,612277.6847829572,55.9
Apartment,New Hut - El Tagamoa,3.0,135.0,350000,792587.9233285865,55.8
Stand Alone Villa,New Hut - El Tagamoa,4.0,266.0,630000,1425531.9440263684,55.8
Apartment,Damietta City,3.0,150.0,650000,1469429.4291873516,55.8
Chalet,North Coast,3.0,118.0,204000,461221.5139107188,55.8
Apartment,New Hut - El Tagamoa,3.0,167.0,175000,396347.1637308972,55.8
Stand Alone Villa,6th of October,4.0,292.0,1400000,3168148.542370448,55.8
Apartment,Sheikh Zayed,4.0,450.0,1150000,2601892.162623232,55.8
Chalet,North Coast,2.0,92.0,300000,678235.206054985,55.8
Apartment,New Hut - El Tagamoa,2.0,161.0,480000,1082961.9665180454,55.7
Chalet,North Coast,1.0,68.0,1650000,3725923.4443322257,55.7
Town House,New Hut - El Tagamoa,4.0,200.0,880000,1988429.8729856836,55.7
Town House,New Hut - El Tagamoa,3.0,190.0,500000,1127842.0646599093,55.7
Chalet,North Coast,2.0,118.0,450000,1015242.5425961757,55.7
Town House,New Hut - El Tagamoa,4.0,185.0,570000,1287183.8178512352,55.7
Twin House,North Coast,4.0,234.0,586000,1322806.3287074382,55.7
